,month,vehicle_class,quota,bids_success,bids_received,premium
430,2017-03,Category A,2078.5,2070.5,3075.5,51277.0
431,2017-03,Category B,1364.0,1356.5,2189.5,53650.0
432,2017-03,Category C,167.0,166.5,233.5,48019.0
433,2017-03,Category D,361.5,356.5,499.5,7782.0
434,2017-03,Category E,490.5,488.5,773.0,53751.0
435,2017-04,Category A,2060.0,2045.5,2464.0,51800.0
436,2017-04,Category B,1364.5,1362.5,1985.0,54405.5
437,2017-04,Category C,162.5,162.0,430.0,36203.5
438,2017-04,Category D,351.0,339.5,497.0,7150.5
439,2017-04,Category E,484.0,481.0,730.0,54586.0
440,2017-05,Category A,1912.5,1909.0,2420.5,48797.5
441,2017-05,Category B,1322.5,1320.5,1860.5,54207.5
442,2017-05,Category C,1084.5,1081.0,2539.0,28314.5
443,2017-05,Category D,465.5,451.5,584.5,6201.0
444,2017-05,Category E,530.5,517.0,743.0,53500.0
445,2017-06,Category A,1902.0,1895.5,2273.5,44001.0
446,2017-06,Category B,1323.0,1322.0,1616.5,48805.5
447,2017-06,Category C,1088.5,1086.0,2217.0,37690.0
448,2017-06,Category D,467.5,407.5,837.0,6051.0
449,2017-06,Category E,540.5,523.5,901.5,49263.5
450,2017-07,Category A,1905.5,1903.5,2342.5,43401.5
451,2017-07,Category B,1322.0,1317.5,1847.0,49901.5
452,2017-07,Category C,1086.5,1081.0,2066.0,41510.5
453,2017-07,Category D,513.0,400.5,931.5,5926.0
454,2017-07,Category E,545.0,518.5,906.5,50000.0
455,2017-08,Category A,1817.0,1814.5,2275.5,44839.0
456,2017-08,Category B,1289.5,1285.5,1830.5,52355.5
457,2017-08,Category C,449.5,440.5,789.0,42402.5
458,2017-08,Category D,589.5,548.0,974.0,4606.5
459,2017-08,Category E,566.5,553.5,801.5,51375.5
460,2017-09,Category A,1817.5,1810.5,2832.0,39451.5
461,2017-09,Category B,1289.0,1289.0,1781.5,49094.5
462,2017-09,Category C,453.0,429.5,700.5,44946.0
463,2017-09,Category D,518.5,514.0,799.0,5451.5
464,2017-09,Category E,554.0,553.0,855.0,48508.5
465,2017-10,Category A,1822.0,1818.0,2599.5,41689.0
466,2017-10,Category B,1285.0,1280.5,1682.0,49052.5
467,2017-10,Category C,468.5,467.5,667.0,50396.0
468,2017-10,Category D,481.5,466.5,704.0,4956.5
469,2017-10,Category E,541.0,533.5,839.0,50500.0
470,2017-11,Category A,1684.5,1681.0,3075.5,46951.5
471,2017-11,Category B,1379.5,1379.0,2344.0,57402.0
472,2017-11,Category C,243.0,220.5,365.5,57868.5
473,2017-11,Category D,523.5,517.5,695.5,5747.0
474,2017-11,Category E,520.0,496.5,855.5,57250.5
475,2017-12,Category A,1683.5,1660.5,2064.0,40269.5
476,2017-12,Category B,1374.5,1371.0,1719.5,50356.5
477,2017-12,Category C,265.5,255.5,468.0,43556.0
478,2017-12,Category D,515.0,479.0,767.0,7026.5
479,2017-12,Category E,536.5,533.0,917.0,51172.5
480,2018-01,Category A,1703.0,1700.5,2101.0,39145.0
481,2018-01,Category B,1377.5,1374.0,1732.5,43975.0
482,2018-01,Category C,253.0,247.0,428.5,39550.5
483,2018-01,Category D,545.0,456.5,852.5,7851.0
484,2018-01,Category E,516.5,506.5,870.0,45695.0
485,2018-02,Category A,1559.5,1547.5,2231.0,38405.0
486,2018-02,Category B,1393.5,1387.5,1787.5,40661.0
